id,source,srcLvel,relationship,target,tarLvel,diff,platform
2,Email,2,with,Collaborators,3,1,Email
2,Print,2,with,Family,3,1,Print
2,Print,2,with,Kids' friends,3,1,Print
2,Dropbox,2,with,Colleagues,3,1,Dropbox
2,Dropbox,2,with,Collaborators,3,1,Dropbox
2,Signal,2,with,Family,3,1,Signal
2,Signal,2,with,Friends,3,1,Signal
2,Signal,2,with,Cousins,3,1,Signal
2,SMS Text,2,what,Photo-worthy moments,4,2,SMS Text
2,WhatsApp,2,what,Photo-worthy moments,4,2,WhatsApp
2,Email,2,what,"Work, projects",4,2,Email
2,Print,2,what,"Work, projects",4,2,Print
2,Print,2,what,Holidays,4,2,Print
2,Dropbox,2,what,"Work, projects",4,2,Dropbox
2,Signal,2,what,Photo-worthy moments,4,2,Signal
2,SMS Text,2,with,Photo-worthy moments,4,1,SMS Text
2,WhatsApp,2,with,Photo-worthy moments,4,1,WhatsApp
2,Email,2,with,"Work, projects",4,1,Email
2,Print,2,with,"Work, projects",4,1,Print
2,Print,2,with,Holidays,4,1,Print
2,Dropbox,2,with,"Work, projects",4,1,Dropbox
2,Signal,2,with,Photo-worthy moments,4,1,Signal
3,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
3,Me,1,through,Signal,2,1,Signal
3,Me,1,through,WhatsApp,2,1,WhatsApp
3,Me,1,through,Google Street View,2,1,Google Street View
3,Me,1,through,Personal website,2,1,Personal website
3,Me,1,through,LinkedIn,2,1,LinkedIn
3,Facebook Messenger,2,with,Friends,3,1,Facebook Messenger
3,Facebook Messenger,2,with,Family,3,1,Facebook Messenger
3,Facebook Messenger,2,with,Work/business/customers,3,1,Facebook Messenger
3,Signal,2,with,Close friends,3,1,Signal
3,Signal,2,with,Family,3,1,Signal
3,WhatsApp,2,with,Childcare group,3,1,WhatsApp
3,WhatsApp,2,with,Friends,3,1,WhatsApp
3,WhatsApp,2,with,Family,3,1,WhatsApp
3,Personal website,2,with,Work/business/customers,3,1,Personal website
3,Google Street View,2,what,Place reviews,4,2,Google Street View
3,Google Street View,2,what,360 virtual tour,4,2,Google Street View
3,LinkedIn,2,what,"Work, projects",4,2,LinkedIn
3,Google Street View,2,with,Place reviews,4,1,Google Street View
3,Google Street View,2,with,360 virtual tour,4,1,Google Street View
3,LinkedIn,2,with,"Work, projects",4,1,LinkedIn
4,Me,1,through,SMS Text,2,1,SMS Text
4,Me,1,through,Print,2,1,Print
4,Me,1,through,Personal notes,2,1,Personal notes
4,Me,1,through,WhatsApp,2,1,WhatsApp
4,SMS Text,2,with,Family,3,1,SMS Text
4,SMS Text,2,with,Friends,3,1,SMS Text
4,SMS Text,2,with,Colleagues,3,1,SMS Text
4,Print,2,with,Family,3,1,Print
4,Print,2,with,Friends,3,1,Print
4,WhatsApp,2,with,Family,3,1,WhatsApp
4,Personal notes,2,what,"Work, projects",4,2,Personal notes
4,Personal notes,2,with,"Work, projects",4,1,Personal notes
4,Family,3,what,Animals/pets,4,1,SMS Text
4,Family,3,what,Holidays,4,1,SMS Text
4,Friends,3,what,Social photos,4,1,SMS Text
4,Colleagues,3,what,Landscape/architecture,4,1,SMS Text
4,Family,3,what,Homemade cards,4,1,Print
4,Friends,3,what,Homemade cards,4,1,Print
5,Me,1,through,Instagram,2,1,Instagram
5,Me,1,through,Personal website,2,1,Personal website
5,Me,1,through,Google Drive,2,1,Google Drive
5,Me,1,through,SMS Text,2,1,SMS Text
5,Google Drive,2,with,Colleagues,3,1,Google Drive
5,Google Drive,2,with,Friends,3,1,Google Drive
5,SMS Text,2,with,Friends,3,1,SMS Text
5,SMS Text,2,with,Colleagues,3,1,SMS Text
5,Instagram,2,what,Landscape/architecture,4,2,Instagram
5,Instagram,2,what,People,4,2,Instagram
5,Instagram,2,what,Objects,4,2,Instagram
5,Instagram,2,what,Digitised film photos,4,2,Instagram
5,Instagram,2,what,Plants,4,2,Instagram
5,Personal website,2,what,Landscape/architecture,4,2,Personal website
5,Personal website,2,what,People,4,2,Personal website
5,Personal website,2,what,Objects,4,2,Personal website
5,Personal website,2,what,Digitised film photos,4,2,Personal website
5,Personal website,2,what,Plants,4,2,Personal website
5,Instagram,2,with,Landscape/architecture,4,1,Instagram
5,Instagram,2,with,People,4,1,Instagram
5,Instagram,2,with,Objects,4,1,Instagram
5,Instagram,2,with,Digitised film photos,4,1,Instagram
5,Instagram,2,with,Plants,4,1,Instagram
5,Personal website,2,with,Landscape/architecture,4,1,Personal website
5,Personal website,2,with,People,4,1,Personal website
5,Personal website,2,with,Objects,4,1,Personal website
5,Personal website,2,with,Digitised film photos,4,1,Personal website
5,Personal website,2,with,Plants,4,1,Personal website
5,Friends,3,what,Memes,4,1,SMS Text
5,Friends,3,what,Plants,4,1,SMS Text
5,Colleagues,3,what,"Work, projects",4,1,SMS Text
6,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
6,Me,1,through,SMS Text,2,1,SMS Text
6,Me,1,through,Instagram,2,1,Instagram
6,Instagram,2,through,Instagram Stories,2,0,Instagram
6,Facebook Messenger,2,with,Group chat,3,1,Facebook Messenger
6,SMS Text,2,with,Partner,3,1,SMS Text
6,SMS Text,2,with,Close friends,3,1,SMS Text
6,Instagram,2,what,Memes,4,2,Instagram
6,Instagram,2,what,Humour,4,2,Instagram
6,Instagram Stories,2,what,Social photos,4,2,Instagram
6,Instagram Stories,2,what,Everyday activities,4,2,Instagram
6,Instagram,2,with,Memes,4,1,Instagram
6,Instagram,2,with,Humour,4,1,Instagram
6,Instagram,2,with,Social photos,4,1,Instagram
6,Instagram,2,with,Everyday activities,4,1,Instagram
6,Group chat,3,what,Meals,4,1,Facebook Messenger
6,Partner,3,what,Animals/pets,4,1,SMS Text
6,Partner,3,what,Note-taking,4,1,SMS Text
6,Partner,3,what,Humour,4,1,SMS Text
6,Close friends,3,what,Shared Interests,4,1,SMS Text
6,Close friends,3,what,Humour,4,1,SMS Text
6,Group chat,3,with,Humour,4,1,Instagram
7,Me,1,through,SMS Text,2,1,SMS Text
7,Me,1,through,WhatsApp,2,1,WhatsApp
7,Me,1,through,Print,2,1,Print
7,Me,1,through,Instagram,2,1,Instagram
7,SMS Text,2,with,Friends,3,1,SMS Text
7,SMS Text,2,with,Family,3,1,SMS Text
7,SMS Text,2,with,Colleagues,3,1,SMS Text
7,WhatsApp,2,with,Family,3,1,WhatsApp
7,WhatsApp,2,with,Group chat,3,1,WhatsApp
7,Print,2,with,Friends,3,1,Print
7,Instagram,2,with,Close friends,3,1,Instagram
7,Instagram,2,with,Family,3,1,Instagram
7,Instagram,2,what,Activism,4,2,Instagram
7,Instagram,2,with,Activism,4,1,Instagram
7,Friends,3,what,Memes,4,1,SMS Text
7,Family,3,what,Selfie,4,1,SMS Text
7,Colleagues,3,what,"Work, projects",4,1,SMS Text
7,Family,3,what,Selfie,4,1,WhatsApp
7,Family,3,what,Social photos,4,1,WhatsApp
7,Group chat,3,what,Shared Interests,4,1,WhatsApp
7,Friends,3,what,Gift,4,1,Print
7,Close friends,3,what,Individual interests,4,1,Instagram
7,Family,3,what,Individual interests,4,1,Instagram
8,Me,1,through,SMS Text,2,1,SMS Text
8,Me,1,through,Instagram,2,1,Instagram
8,Me,1,through,Print,2,1,Print
8,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
8,SMS Text,2,with,Friends,3,1,SMS Text
8,SMS Text,2,with,Family,3,1,SMS Text
8,Instagram,2,with,Friends,3,1,Instagram
8,Instagram,2,with,Family,3,1,Instagram
8,Instagram,2,with,Public,3,1,Instagram
